word	isHomograph	biggest	biggest.stderr	dominance	NormDictRankAgreement	NumMeanings	p1	p2	p3	p4	p5	p6	pExistDef	dictsp1p2	dictsp1p3	dictsp1p4	dictsp1p5	sp1p2	sp1p3	sp1p4	sp1p5	sp1p6	NumSenses	NumInterpWordNet	verbInterp	nounInterp	adjectiveInterp	imag	inSFFAN	wordCaseSensitive	wf	log10wf	len	coltN	OLD	posBigram	nPhon	nSyll
affect	0	76	2.8	0.57	1	2	76	24	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	4	6	3	1	0	N/A	1	affect	11.14	2.76	6	1	2.45	110	5	2
affected	0	80	2.8	0.65	1	2	80	20	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	4	3	0	0	4	N/A	0	affected	6.76	2.54	8	1	2.55	1743	7	3
alley	0	98	0.4	0.98	1	2	98	2	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	6	2	0	6	0	572	1	alley	16.29	2.92	5	5	1.55	209	3	2
angle	0	79	1.7	0.69	1	2	79	21	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	11	8	5	6	0	503	1	angle	14.92	2.88	5	5	1.3	130	4	2
arch	0	91	1.2	0.89	1	2	91	9	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	6	7	3	2	1	557	0	arch	3.69	2.28	4	3	1.55	51	2	1
arm	0	71	1.8	0.53	1	2	71	29	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	10	8	4	6	0	593	1	arm	65.41	3.52	3	16	1	15	2	1
ash	0	87	1.8	0.84	0.93	2	84	12	4	0	0	0	96	96	NA	NA	NA	96	100	100	100	100	5	4	0	5	0	553	1	Ash	9.2	2.67	3	11	1	10	2	1
bail	0	66	2.5	0.46	0.94	3	64	3	25	8	0	0	92	89	92	NA	NA	89	97	100	100	100	11	7	5	6	0	480	0	bail	17.35	2.95	4	18	1	141	3	1
ban	0	85	3	0.75	1	3	85	12	2	0	0	0	100	98	100	NA	NA	98	100	100	100	100	5	9	1	4	0	N/A	1	ban	3.14	2.21	3	35	1	33	3	1
band	0	60	1.6	0.27	1	2	60	40	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	7	14	3	4	0	579	1	band	53.41	3.44	4	19	1	178	4	1
bang	0	66	1.7	0.43	1	2	66	34	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	13	12	7	5	0	470	1	bang	19.98	3.01	4	23	1	201	3	1
